drone/quat/w,drone/quat/x,drone/quat/y,drone/quat/z,drone/location/latitude,drone/location/longitude,drone/location/altitude_wgs84ellipsoid,drone/location/altitude_egm96amsl,drone/location/horizontal_accuracy,drone/location/vertical_accuracy,drone/location/sv_count,drone/ground_distance,drone/local_position/x,drone/local_position/y,drone/local_position/z,drone/speed/north,drone/speed/east,drone/speed/down,drone/battery_percentage,drone/animation_in_progress,drone/flying_state,drone/piloting_mode,camera/timestamp,camera/base_quat/w,camera/base_quat/x,camera/base_quat/y,camera/base_quat/z,camera/quat/w,camera/quat/x,camera/quat/y,camera/quat/z,camera/location/latitude,camera/location/longitude,camera/location/altitude_wgs84ellipsoid,camera/location/altitude_egm96amsl,camera/location/horizontal_accuracy,camera/location/vertical_accuracy,camera/location/sv_count,camera/principal_point/x,camera/principal_point/y,camera/exposure_time,camera/iso_gain,camera/awb_r_gain,camera/awb_b_gain,camera/hfov,camera/vfov
0.411634743,-0.005961424,-0.03946637,-0.91047442,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19933000,0.411309659,0,0,-0.911495686,0.411349267,-2.08225E-05,4.12197E-05,-0.911477804,48.87921522,2.368741747,49.30223846,2.913240194,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411594182,-0.00596694,-0.039443955,-0.910493791,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19967000,0.41125685,0,0,-0.911519527,0.411347181,-7.80837E-06,1.70883E-05,-0.911478758,48.87921522,2.368741747,49.30224228,2.91324234,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411594182,-0.00596694,-0.039443955,-0.910493791,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19967000,0.41125685,0,0,-0.911519527,0.411347181,-7.80837E-06,1.70883E-05,-0.911478758,48.87921522,2.368741747,49.30224228,2.91324234,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411599308,-0.005958021,-0.039442148,-0.910491526,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20000000,0.411265075,0,0,-0.911515772,0.411316395,-1.23E-07,-2.38E-07,-0.911492646,48.87921522,2.368741747,49.20324326,2.814244509,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411599308,-0.005958021,-0.039442148,-0.910491526,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20000000,0.411265075,0,0,-0.911515772,0.411316395,-1.23E-07,-2.38E-07,-0.911492646,48.87921522,2.368741747,49.20324326,2.814244509,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411614239,-0.005952165,-0.03943203,-0.910485208,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20033000,0.411273152,0,0,-0.911512136,0.411317825,-1.78E-07,-9.10E-08,-0.91149199,48.87921522,2.368741747,49.20324707,2.814246893,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411614239,-0.005952165,-0.03943203,-0.910485208,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20033000,0.411273152,0,0,-0.911512136,0.411317825,-1.78E-07,-9.10E-08,-0.91149199,48.87921522,2.368741747,49.20324707,2.814246893,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624461,-0.005920543,-0.039430093,-0.910480976,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20067000,0.411292046,0,0,-0.911503613,0.411323786,-6.35E-07,4.96E-07,-0.911489308,48.87921522,2.368741747,49.2032547,2.814254522,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624461,-0.005920543,-0.039430093,-0.910480976,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20067000,0.411292046,0,0,-0.911503613,0.411323786,-6.35E-07,4.96E-07,-0.911489308,48.87921522,2.368741747,49.2032547,2.814254522,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624312,-0.005880401,-0.039414819,-0.910481989,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20100000,0.411291629,0,0,-0.911503792,0.411336511,-1.17825E-06,1.47995E-06,-0.911483586,48.87921522,2.368741747,49.20326614,2.814265728,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624312,-0.005880401,-0.039414819,-0.910481989,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20100000,0.411291629,0,0,-0.911503792,0.411336511,-1.17825E-06,1.47995E-06,-0.911483586,48.87921522,2.368741747,49.20326614,2.814265728,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411642671,-0.005880504,-0.039400224,-0.91047436,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20133000,0.411310315,0,0,-0.911495388,0.411341935,-3.31286E-06,5.79503E-06,-0.911481082,48.87921522,2.368741747,49.20326614,2.814267159,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411642671,-0.005880504,-0.039400224,-0.91047436,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20133000,0.411310315,0,0,-0.911495388,0.411341935,-3.31286E-06,5.79503E-06,-0.911481082,48.87921522,2.368741747,49.20326614,2.814267159,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41164273,-0.005847189,-0.039413184,-0.910473883,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20167000,0.411310762,0,0,-0.911495209,0.411356568,1.39E-07,-1.31167E-06,-0.911474526,48.87921522,2.368741747,49.20327377,2.814273834,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41164273,-0.005847189,-0.039413184,-0.910473883,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20167000,0.411310762,0,0,-0.911495209,0.411356568,1.39E-07,-1.31167E-06,-0.911474526,48.87921522,2.368741747,49.20327377,2.814273834,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411629945,-0.005805961,-0.039409157,-0.910480082,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20200000,0.411298782,0,0,-0.911500573,0.411361575,4.32E-07,-3.87E-07,-0.911472261,48.87921522,2.368741747,49.20328522,2.814284086,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411629945,-0.005805961,-0.039409157,-0.910480082,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20200000,0.411298782,0,0,-0.911500573,0.411361575,4.32E-07,-3.87E-07,-0.911472261,48.87921522,2.368741747,49.20328522,2.814284086,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411642939,-0.005756731,-0.0394,-0.910474896,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20233000,0.411306292,0,0,-0.911497176,0.411356986,2.05E-07,-2.16475E-06,-0.911474347,48.87921522,2.368741747,49.20329285,2.8142941,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411642939,-0.005756731,-0.0394,-0.910474896,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20233000,0.411306292,0,0,-0.911497176,0.411356986,2.05E-07,-2.16475E-06,-0.911474347,48.87921522,2.368741747,49.20329285,2.8142941,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411632121,-0.005709378,-0.039391052,-0.910480618,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20267000,0.411313564,0,0,-0.911493897,0.411358267,-1.10157E-06,1.73086E-06,-0.911473751,48.87921522,2.368741747,49.20330811,2.81430912,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411632121,-0.005709378,-0.039391052,-0.910480618,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20267000,0.411313564,0,0,-0.911493897,0.411358267,-1.10157E-06,1.73086E-06,-0.911473751,48.87921522,2.368741747,49.20330811,2.81430912,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411628217,-0.005670451,-0.039387401,-0.910482645,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20300000,0.411300421,0,0,-0.911499858,0.411361217,1.14E-07,-7.84E-07,-0.91147244,48.87921522,2.368741747,49.20331955,2.814318895,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411628217,-0.005670451,-0.039387401,-0.910482645,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20300000,0.411300421,0,0,-0.911499858,0.411361217,1.14E-07,-7.84E-07,-0.91147244,48.87921522,2.368741747,49.20331955,2.814318895,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624134,-0.00562865,-0.039357178,-0.910486162,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20333000,0.411298692,0,0,-0.911500633,0.411353499,1.66E-07,-1.66964E-06,-0.911475897,48.87921522,2.368741747,49.20333099,2.814331293,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411624134,-0.00562865,-0.039357178,-0.910486162,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20333000,0.411298692,0,0,-0.911500633,0.411353499,1.66E-07,-1.66964E-06,-0.911475897,48.87921522,2.368741747,49.20333099,2.814331293,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411626995,-0.00560703,-0.039323114,-0.910486519,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20367000,0.411300421,0,0,-0.911499858,0.411348701,-3.23E-07,-1.15272E-06,-0.911478043,48.87921522,2.368741747,49.20334244,2.814341068,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411626995,-0.00560703,-0.039323114,-0.910486519,48.8792162,2.3687435,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20367000,0.411300421,0,0,-0.911499858,0.411348701,-3.23E-07,-1.15272E-06,-0.911478043,48.87921522,2.368741747,49.20334244,2.814341068,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411627859,-0.005545543,-0.0393297,-0.910486162,48.879216,2.3687433,49.16500092,2.776000023,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,20400000,0.411302269,0,0,-0.911499023,0.41134879,4.49808E-06,-3.78333E-05,-0.911478043,48.87921502,2.368741547,49.20335388,2.814354181,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
